trip_start_timestamp,trip_end_timestamp,fare,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
12/31/2016 22:15,12/31/2016 22:15,4.25,41.90120699,-87.67635599,41.92276062,-87.69915534
12/31/2016 0:00,12/31/2016 0:15,9.25,41.97517094,-87.68751552,41.986711799999995,-87.66341641
12/31/2016 0:15,12/31/2016 0:30,12.75,41.92276062,-87.69915534,41.9442266,-87.65599818
12/31/2016 2:15,12/31/2016 2:30,7.75,41.90120699,-87.67635599,41.9000696,-87.72091824
12/31/2016 23:45,12/31/2016 23:45,8.75,41.92268628,-87.64948873,41.90120699,-87.67635599
12/31/2016 16:00,12/31/2016 16:15,5.75,41.9442266,-87.65599818,41.9442266,-87.65599818
12/31/2016 16:00,1/1/2017 0:00,0.0,41.97517094,-87.68751552,41.97517094,-87.68751552
12/31/2016 21:30,12/31/2016 21:30,13.25,41.87886558,-87.62519214,41.83511799,-87.61867777
12/31/2016 19:15,12/31/2016 19:15,5.0,41.92268628,-87.64948873,41.9442266,-87.65599818
12/31/2016 14:15,12/31/2016 14:15,8.0,41.87886558,-87.62519214,41.85718386,-87.62033462
12/31/2016 12:45,12/31/2016 12:45,5.5,41.95358213,-87.72345239,41.95358213,-87.72345239
12/31/2016 15:15,12/31/2016 16:00,49.75,41.98026432,-87.91362459999999,41.85026637,-87.66756931
12/31/2016 0:45,12/31/2016 0:45,5.0,41.9442266,-87.65599818,41.9442266,-87.65599818
12/31/2016 18:45,12/31/2016 19:00,11.25,41.90120699,-87.67635599,41.89960211,-87.63330804
12/31/2016 11:30,12/31/2016 11:45,10.75,41.87400538,-87.66351755,41.89960211,-87.63330804
12/31/2016 21:15,12/31/2016 21:15,8.0,41.90120699,-87.67635599,41.90120699,-87.67635599
12/31/2016 16:00,12/31/2016 16:15,9.0,41.89197151,-87.61294541,41.87060737,-87.62217294
12/31/2016 3:30,12/31/2016 3:30,3.75,41.89321636,-87.63784421,41.89321636,-87.63784421
12/31/2016 13:45,12/31/2016 13:45,6.0,41.986711799999995,-87.66341641,41.986711799999995,-87.66341641
12/31/2016 2:15,12/31/2016 2:15,4.75,41.986711799999995,-87.66341641,41.97517094,-87.68751552
12/31/2016 0:30,12/31/2016 0:45,6.5,41.87400538,-87.66351755,41.87400538,-87.66351755
12/31/2016 22:45,12/31/2016 23:00,12.5,41.9442266,-87.65599818,41.9442266,-87.65599818
